episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
8,0.0,17.247289180755615,5488,44085,12.931229206304673
8,0.0,15.535604536533356,5489,44093,13.006465937444643
8,0.0,15.310805976390839,5490,44101,13.258104155817268
8,0.0,16.948108971118927,5491,44109,12.900598923951499
8,0.0,16.255526661872864,5492,44117,12.621983349458247
8,0.0,15.20029503107071,5493,44125,12.862964462272599
8,0.0,16.034102857112885,5494,44133,13.22284305987009
8,0.0,16.401083171367645,5495,44141,12.951308739261098
8,0.0,16.22787880897522,5496,44149,13.1372103148129
8,0.0,16.0629745721817,5497,44157,12.972217991075674
8,0.0,17.766258418560028,5498,44165,12.80618462743314
8,0.0,17.678521990776062,5499,44173,13.193732330401343
8,0.0,15.490144431591034,5500,44181,12.89551210903512
8,0.0,15.594225645065308,5501,44189,12.959151814852664
8,0.0,16.86305397748947,5502,44197,12.981336812104203
8,0.0,14.83251029253006,5503,44205,12.786610700084026
8,0.0,15.582885086536407,5504,44213,12.755012190736561
8,0.0,14.740204691886902,5505,44221,12.682859272496913
8,0.0,17.133988678455353,5506,44229,12.973787903685732
8,0.0,18.313503444194794,5507,44237,12.79367012399642
9,0.0,20.177669882774353,5508,44246,12.845608985625708
8,0.0,15.067164242267609,5509,44254,13.022336080922644
8,0.0,14.611591756343842,5510,44262,12.666241620340015
8,0.0,16.395268321037292,5511,44270,12.81271280899666
8,0.0,15.62261837720871,5512,44278,13.063696868825494
9,0.0,15.97139173746109,5513,44287,12.935086990087793
8,0.0,16.11527317762375,5514,44295,12.910362361972597
8,0.0,15.814416348934174,5515,44303,13.021244526851849
8,0.0,16.181400656700134,5516,44311,12.941538200457426
8,0.0,15.013519823551178,5517,44319,12.922817641725906
8,0.0,16.16044783592224,5518,44327,12.92996851746953
8,0.0,17.013965129852295,5519,44335,12.775160601202268
8,0.0,16.809001803398132,5520,44343,12.96556638130732
8,0.0,15.762170672416687,5521,44351,12.92431090359622
8,0.0,16.759547293186188,5522,44359,12.992118252541163
8,0.0,14.491228997707367,5523,44367,13.0026001765485
8,0.0,15.382890164852142,5524,44375,12.616705846610145
8,0.0,17.37222957611084,5525,44383,12.90947326302992
9,0.0,18.748204290866852,5526,44392,13.083059937323979
8,0.0,15.968636572360992,5527,44400,13.143720031478088
8,0.0,14.346821367740631,5528,44408,13.326107340623135
8,0.0,15.414730489253998,5529,44416,13.709082262422955
8,0.0,15.112648606300354,5530,44424,13.421150058637279
8,0.0,16.1149001121521,5531,44432,13.343393705374629
8,0.0,15.619049906730652,5532,44440,13.057621842068396
8,0.0,15.372863173484802,5533,44448,13.687959816968625
8,0.0,16.30503284931183,5534,44456,13.017935608720515
8,0.0,19.195047974586487,5535,44464,13.094305178377075
8,0.0,15.187033295631409,5536,44472,12.848808454356568
8,0.0,14.79137635231018,5537,44480,12.899180558524176
8,0.0,15.779764294624329,5538,44488,12.812957439488253
8,0.0,15.873255491256714,5539,44496,12.998525220587409
9,0.0,18.43179887533188,5540,44505,13.180148460576943
8,0.0,18.204365730285645,5541,44513,12.857375173484582
8,0.0,15.976809680461884,5542,44521,13.161501476011576
8,0.0,16.379003703594208,5543,44529,13.003804515270186
8,0.0,15.511067688465118,5544,44537,12.844617878112064
8,0.0,16.935954093933105,5545,44545,13.184644334711349
8,0.0,17.250247597694397,5546,44553,13.02875771769421
8,0.0,15.288767457008362,5547,44561,13.15455124598898
8,0.0,17.847694993019104,5548,44569,12.933561879593844
8,0.0,16.022132873535156,5549,44577,13.109704158333368
8,0.0,16.049273252487183,5550,44585,12.949589334189579
8,0.0,16.968619287014008,5551,44593,13.09017254898901
8,0.0,16.873039662837982,5552,44601,13.15196291126792
8,0.0,16.95205467939377,5553,44609,12.83550347736908
8,0.0,17.32686936855316,5554,44617,13.103519753631694
8,0.0,15.397913157939911,5555,44625,13.246495175833372
8,0.0,15.174710094928741,5556,44633,12.972248081675321
8,0.0,17.76873540878296,5557,44641,12.923599072396874
8,0.0,14.672685623168945,5558,44649,12.947735487428464
